ID,spEffectId4
2110170,-1
2110190,6202065
2110200,6202065
2110210,-1
2110220,-1
2110230,-1
2110240,-1
2110250,6202066
2110251,6202066
2110260,6202066
2110270,-1
2110280,6202066
2110310,6202065
2110311,-1
2110320,-1
2110321,-1
2110322,-1
2110340,-1
2110341,6202065
2110350,6202066
2110351,6202065
2110380,-1
2110390,-1
2110391,-1
2110400,-1
2110401,6202066
2110403,6202065
2110420,6202065
2110421,6202066
2110430,-1
2110431,-1
2110440,-1
2110441,-1
2110470,6202065
2110490,-1
2110730,6202066
2110740,6202065
2110741,6202065
2110742,6202065
2110750,6202065
2110751,6202066
2110752,6202066
2110753,6202066
2110754,6202066
2110900,6202066
2120100,-1
2120110,-1
2120120,-1
2120130,-1
2120140,-1
2120141,-1
2120150,-1
2120160,-1
2120161,-1
2120170,-1
2120180,-1
2120190,-1
2120200,6202065
2120201,6202065
2120202,6202065
2120203,6202065
2120204,6202065
2120205,6202065
2120209,6202066
2120210,-1
2120220,-1
2120230,6202065
2120231,6202065
2120240,6202065
2120241,6202065
2120260,-1
2120270,6202065
2120271,6202065
2120280,6202066
2120290,6202066
2120300,6202065
2120310,6202065
2120321,-1
2120340,-1
2120370,-1
2120380,-1
2120390,-1
2120400,6202065
2120401,6202065
2120402,6202065
2120403,-1
2120404,-1
2120410,-1
2120450,-1
2120460,-1
2120470,6202065
2120471,6202065
2120480,6202065
2120481,6202065
2120482,6202066
2120483,6202065
2120484,6202065
2120485,6202065
2120486,6202065
2120487,6202065
2120488,6202066
2120489,6202065
2120490,6202065
2120491,-1
2120500,6202065
2120501,6202065
2120502,6202065
2120510,6202065
2120520,6202065
2120530,6202065
2120531,6202065
2120532,6202065
2120643,6202066
2120652,6202065
2120653,6202065
2120700,6202066
2120720,6202066
2120730,6202066
2120800,6202065
2120801,6202065
2120810,6202065
2120811,6202065
2120900,-1
2130020,6202065
2130030,6202065
2130050,6202065
2130060,-1
2130090,-1
2130105,-1
2130110,-1
2130115,-1
2130120,-1
2130125,-1
2130130,-1
2130135,-1
2130140,6202065
2130141,6202065
2130142,-1
2130146,6202065
2130147,6202065
2130148,-1
2130150,-1
2130155,-1
2130160,6202066
2130165,6202066
2130170,6202065
2130171,6202065
2130175,6202066
2130176,6202065
2130177,6202065
2130190,6202065
2130191,6202065
2130195,6202066
2130196,6202065
2130200,-1
2130205,-1
2130231,6202065
2130235,-1
2130236,6202065
2130250,-1
2130251,-1
2130257,-1
2130290,-1
2130291,6202065
2130292,6202065
2130295,-1
2130296,6202065
2130297,6202065
2130300,-1
2130301,-1
2130302,-1
2130303,6202066
2130304,6202065
2130307,6202066
2130308,6202065
2130309,-1
2130341,6202066
2130350,6202065
2130356,6202065
2130360,-1
2130361,-1
2130363,6202066
2130364,6202065
2130368,6202066
2130369,6202065
2130390,6202065
2130391,6202065
2130394,-1
2130398,6202065
2130399,6202065
2130420,-1
2130421,-1
2130422,6202066
2130424,-1
2130425,-1
2130428,6202066
2130429,-1
2130450,6202065
2130455,6202065
2130460,-1
2130480,6202065
2130490,-1
2130495,-1
2130500,-1
2130510,-1
2130530,-1
2130550,6202066
2130560,6202066
2130570,6202066
2130580,6202065
2130595,-1
2130600,6202066
2130610,-1
2130620,6202065
2130641,-1
2130650,6202065
2130680,6202065
2130681,6202065
2130700,6202065
2130720,6202065
2130725,6202066
2130726,6202065
2130730,6202065
2130740,6202066
2130750,-1
2130790,6202065
2130800,6202066
2130801,6202066
2130810,6202065
2130820,6202066
2130821,6202066
2130830,6202065
2130831,6202065
2130832,6202065
2130833,6202065
2130840,6202065
2130841,6202065
2130842,6202066
2130843,6202065
2130851,-1
2130880,-1
2140100,6202066
2140110,6202066
2140120,6202065
2140130,6202066
2140140,6202065
2140150,6202065
2140160,6202065
2140165,6202065
2140170,6202065
2140175,6202065
2140180,-1
2140181,6202065
2140185,-1
2140186,6202065
2140190,6202065
2140195,6202065
2140210,6202065
2140215,6202065
2140220,6202065
2140230,6202066
2140240,6202065
2140241,6202065
2140246,6202065
2140251,6202065
2140252,6202066
2140257,6202066
2140260,6202066
2140270,6202066
2140280,6202066
2140281,6202066
2140282,6202066
2140400,6202066
2140410,6202066
2140420,6202066
2140430,6202065
2140440,6202065
2140500,6202066
2140510,6202065
2140511,-1
2140520,-1
2140800,6202066
2140810,6202066
2140820,6202065
2140830,6202066
2140840,6202065
2140850,6202065
2140860,6202065
2140870,6202065
2140880,-1
2140881,6202065
2140890,6202065
2140910,6202065
2140920,6202065
2140930,6202066
2140940,6202065
2140941,6202065
2140951,6202065
2140952,6202066
2140960,6202066
2140970,6202066
2140980,6202066
2140981,6202066
2140982,6202066
2150010,-1
2150020,-1
2180100,6202065
2180131,-1
2180133,-1
2180150,-1
2180151,-1
2180160,-1
2180170,-1
2180180,6202066
2180185,-1
2180186,-1
2180210,6202066
2180215,-1
2180220,-1
2180250,6202066
2180255,-1
2180260,6202066
2180265,-1
2180300,-1
2180320,6202066
2180326,-1
2180327,-1
2180330,6202066
2180335,-1
2180340,6202066
2180345,-1
2190100,-1
2190110,-1
2190120,6202066
2190121,6202066
2190130,6202065
2190131,6202065
2190140,-1
2190150,6202066
2190160,6202065
2190161,6202065
2190170,6202065
2190180,6202065
2190181,6202065
2190190,6202066
2190200,6202066
2190201,6202066
2190210,6202066
2190220,6202066
2190230,6202066
2190240,6202065
2190245,6202065
2190250,-1
2190251,6202065
2190252,6202065
2190260,6202065
2190261,6202065
2190280,6202065
2190281,6202066
2190290,6202065
2190291,-1
2190292,-1
2190310,6202065
2190311,6202066
2190312,6202065
2190330,6202065
2190331,-1
2190350,6202065
2190360,6202066
2190361,6202066
2190370,6202065
2190371,6202066
2190372,6202066
2190380,6202065
2190381,6202066
2190382,6202066
2190390,-1
2190391,6202065
2190392,6202065
2190420,-1
2190430,6202066
2190440,6202066
2190450,6202066
2190460,6202066
2190510,-1
2190520,6202065
2190530,6202066
2200100,6202065
2200101,-1
2200110,6202065
2200120,6202065
2200130,6202066
2200131,6202066
2200140,6202065
2200150,6202065
2200160,6202065
2200170,6202065
2200190,-1
2200200,6202065
2200210,6202065
2200211,6202065
2200212,6202065
2200214,-1
2200220,6202065
2200221,6202065
2200222,-1
2200230,-1
2200231,-1
2200250,6202066
2200260,6202065
2200270,6202065
2200280,6202065
2200281,6202065
2200294,6202065
2200295,6202065
2200296,6202065
2200297,6202066
2200300,-1
2200310,6202066
2200311,-1
2200330,-1
2200360,-1
2200371,-1
2200380,6202065
2200391,-1
2200392,6202065
2200402,-1
2200410,-1
2200420,-1
2200500,6202065
2200510,6202065
2270010,6202065
2270030,6202066
2270040,-1
2270080,6202066
2270091,6202066
2270093,6202066
2270100,6202065
2270120,6202066
2270130,6202066
2270160,6202066
2270170,6202066
2270180,-1
2270190,-1
2270200,6202066
2270210,6202065
2270211,6202065
2270220,6202065
2270221,6202065
2270222,6202065
2271010,-1
2271020,-1
2271031,-1
2271040,-1
2500110,-1
2500120,6202065
2500130,6202066
2500140,6202066
2500150,-1
2500160,6202065
2500190,-1
2500200,-1
2500201,6202065
2500210,-1
2500220,-1
2500222,-1
2500230,6202065
2500240,-1
2500250,-1
2500254,6202065
2500261,6202065
2500270,6202065
2500271,-1
2500400,-1
2500420,6202065
2500431,-1
2500450,6202065
2500460,6202066
2500470,6202066
2500480,6202065
2500481,6202065
2500482,6202065
2500490,6202065
2500500,6202065
2500501,6202065
2500510,-1
2500520,-1
2500530,6202065
2500580,6202066
2500581,6202066
2500594,6202066
2500600,-1
2500610,-1
3000100,-1
3000130,-1
3000140,-1
3000150,-1
3000160,-1
3000161,-1
3000162,-1
3000163,-1
3000164,-1
3000165,-1
3000170,-1
3000210,6202065
3000360,6202065
3000400,-1
3000430,-1
3000440,-1
3000450,6202065
3000500,-1
3000501,-1
3010110,-1
3010130,6202065
3010131,6202065
3010135,6202066
3010136,6202066
3010150,-1
3010160,6202066
3010170,6202066
3010180,6202065
3010181,6202065
3010185,6202066
3010190,6202065
3010210,-1
3010220,6202065
3010221,6202065
3010225,6202066
3010226,6202066
3010230,6202065
3010231,6202065
3010235,6202066
3010240,6202065
3010245,6202065
3010250,6202065
3010255,6202065
3010280,-1
3010400,-1
3010411,-1
3010420,-1
3010421,6202066
3010430,-1
3010490,-1
3010491,-1
3010492,-1
3010500,-1
3010525,6202065
3010530,-1
3010540,6202066
3010541,6202066
3010542,6202066
3010560,6202066
3010561,6202066
3010562,6202066
3010570,6202066
3010580,-1
3010581,-1
3010583,-1
3010610,6202066
3010710,6202066
3010720,6202066
3010730,6202066
3010740,-1
3010741,6202066
3010750,6202066
3010770,6202066
3010781,6202065
3010795,6202065
3010801,6202065
3010815,6202065
3010820,6202065
3010830,6202066
3010840,-1
3010841,6202066
3010842,6202066
3010845,6202065
3010847,6202065
3010850,6202065
3010860,6202066
3010870,-1
3010871,6202066
3010872,6202066
3010875,6202065
3010877,6202065
3010880,6202065
3010885,6202065
3010920,6202065
3010925,6202065
3020100,-1
3020110,6202066
3020130,6202066
3020140,6202066
3020201,6202065
3050100,-1
3050140,6202065
3050150,6202066
3050160,6202066
3050181,6202066
3050190,6202066
3050195,6202066
3050200,6202066
3050201,6202066
3050230,6202066
3050235,6202066
3050240,-1
3050245,-1
3050250,6202065
3050255,6202065
3050280,6202065
3050281,6202065
3050290,-1
3050291,6202066
3050310,-1
3050360,6202066
3050361,6202066
3050362,6202066
3050370,6202066
3050371,6202066
3050900,6202065
3050905,6202065
3050910,6202065
3050915,6202065
3050920,6202065
3050925,6202065
3060010,6202066
3060012,6202066
3060020,6202066
3060030,6202065
3060040,6202066
3060050,6202066
3060051,6202066
3060060,6202066
3060061,6202066
3060070,6202066
3060110,6202066
3060111,6202066
3060120,6202066
3060130,6202066
3060140,6202066
3060150,6202065
3060160,6202066
3060170,6202066
3060180,6202066
3060190,6202066
3060200,6202065
3060900,6202065
3060901,6202065
3061010,6202066
3061012,6202066
3061020,6202066
3061030,6202065
3061040,6202066
3061050,6202066
3061051,6202066
3061060,6202066
3061061,6202066
3061070,6202066
3061110,6202066
3061111,6202066
3061120,6202066
3061130,6202066
3061140,6202066
3061150,6202065
3061160,6202066
3061170,6202066
3061180,6202066
3061190,6202066
3061200,6202065
3061900,6202065
3061901,6202065
3070100,-1
3070110,-1
3070120,-1
3070130,-1
3070140,-1
3070141,-1
3070142,-1
3070150,-1
3070160,-1
3070170,-1
3070200,-1
3070300,-1
3070340,-1
3070350,-1
3070351,-1
3070352,-1
3070353,-1
3070354,-1
3070440,6202065
3070540,-1
3070550,-1
3070560,-1
3070570,-1
3080000,-1
3080010,-1
3080030,6202066
3080070,6202065
3080080,6202065
3080110,6202066
3080130,-1
3080131,-1
3080210,-1
3080220,6202066
3080230,6202065
3080240,6202065
3080250,6202065
3080260,6202066
3080270,6202065
3100123,6202065
3100130,6202066
3100131,6202066
3100132,6202065
3100150,6202066
3100170,6202065
3100210,6202066
3100230,6202065
3100240,6202065
3100250,6202065
3100272,6202066
3100280,6202065
3100290,6202065
3100400,6202066
3150100,-1
3150120,6202066
3150130,6202066
3150141,6202065
3150180,6202065
3150190,6202065
3150200,-1
3150201,-1
3150220,6202066
3150221,6202066
3150230,6202066
3150231,6202066
3150243,6202065
3150244,6202065
3150280,6202065
3150281,6202065
3150290,6202065
3150291,6202065
3150301,6202065
3150320,-1
3150330,6202065
3150340,6202065
3150403,6202065
3150404,6202065
3150410,-1
3150411,-1
3150420,6202065
3150421,6202065
3150430,6202065
3150431,6202065
3150440,6202065
3150441,6202065
3150510,6202065
3150511,6202065
3160100,6202065
3160110,6202065
3160120,6202065
3160130,6202065
3170000,-1
3170010,-1
3170020,-1
3170030,-1
3170200,-1
3170210,-1
3170220,-1
3170230,-1
3170240,-1
3170250,-1
3170900,6202065
3180010,6202066
3180020,-1
3180022,6202066
3180051,6202066
3180060,6202066
3181000,6202066
3181001,6202065
3181002,6202066
3181010,6202065
3181020,6202066
3181030,6202066
3181040,6202065
3181200,6202065
3181201,6202065
3181202,6202065
3181210,6202066
3181211,6202066
3181220,6202066
3181230,6202065
3181240,6202065
3181510,6202066
3200061,-1
3250100,6202065
3250110,6202065
3250120,6202065
3250130,6202065
3250140,6202065
3250141,6202065
3250150,6202065
3250160,6202065
3250170,6202065
3250180,6202065
3250181,6202065
3250190,6202065
3250200,6202065
3250210,6202065
3250220,6202065
3250230,6202065
3250241,6202065
3250250,6202066
3250260,6202065
3250270,6202065
3250280,6202065
3250290,6202065
3250291,6202065
3250300,6202065
3250301,6202065
3250310,6202065
3250311,6202065
3250320,6202065
3250330,6202065
3250340,6202065
3250341,6202065
3250350,6202066
3250400,6202065
3250410,6202065
3250420,6202065
3250430,6202065
3250440,6202065
3250441,6202065
3250450,6202065
3250451,-1
3250460,6202065
3250461,6202065
3250470,6202065
3250471,6202065
3250480,6202065
3250481,6202065
3250490,-1
3250493,6202065
3250500,6202065
3250501,6202065
3250513,6202065
3250520,6202065
3250521,-1
3250530,6202065
3250531,6202065
3250540,6202066
3250551,6202065
3250552,6202065
3251100,-1
3251110,6202066
3251140,6202065
3251141,6202065
3251160,6202065
3251161,6202065
3251180,6202065
3251190,6202066
3251200,-1
3251220,6202065
3251240,6202065
3251270,6202065
3251280,6202066
3251281,6202065
3251300,6202065
3251310,-1
3251350,6202066
3251360,6202066
3251380,6202065
3251390,-1
3251400,-1
3251420,-1
3251430,6202065
3251440,6202065
3251450,6202065
3251451,6202065
3251460,6202066
3251912,6202065
3251913,6202065
3252100,-1
3252120,-1
3252130,6202066
3252140,6202065
3252150,6202065
3252190,6202066
3252191,6202065
3252242,-1
3252260,-1
3252270,-1
3252300,6202065
3252310,-1
3252330,-1
3252350,6202065
3252351,6202065
3252360,6202065
3252361,6202065
3252370,6202066
3252371,6202066
3252372,6202065
3252430,-1
3252431,-1
3252450,-1
3252451,-1
3252470,6202065
3252471,6202065
3252472,6202065
3252473,6202065
3252480,6202065
3252481,6202065
3252482,6202065
3252483,6202065
3300020,6202066
3300030,6202066
3300031,-1
3300032,-1
3300101,-1
3300110,-1
3300111,6202066
3300112,-1
3300120,6202066
3300141,6202065
3300150,6202065
3300201,6202065
3300210,-1
3300211,-1
3300220,-1
3300230,-1
3300231,-1
3310000,-1
3310010,-1
3310020,-1
3310040,-1
3310041,-1
3310100,-1
3310110,-1
3310200,-1
3310210,-1
3310211,-1
3310460,6202065
3310520,6202066
3310540,6202065
3310550,6202065
3310560,6202066
3320130,-1
3320131,-1
3320301,6202066
3330100,6202065
3330110,6202065
3350001,-1
3350011,-1
3350020,-1
3350030,6202066
3350031,-1
3350032,-1
3350070,-1
3350080,6202065
3350081,6202066
3350090,6202065
3350101,-1
3350110,-1
3350111,-1
3350191,-1
3350201,-1
3350211,-1
3350221,-1
3350230,-1
3350231,-1
3350240,6202065
3350241,-1
3350250,6202066
3350251,6202065
3350252,-1
3350261,-1
3350271,-1
3350281,-1
3350301,-1
3350311,-1
3350321,-1
3350330,-1
3350340,6202065
3350350,6202066
3350351,6202065
3350415,-1
3350420,6202065
3350425,6202065
3350430,6202065
3350431,6202066
3350435,6202065
3350436,6202066
3350450,-1
3350501,-1
3350511,-1
3350520,-1
3350530,6202066
3350531,-1
3350532,-1
3350570,-1
3350572,-1
3350580,6202065
3350581,6202066
3350590,6202065
3350600,-1
3350601,-1
3350610,-1
3350611,-1
3350691,-1
3360100,-1
3360104,6202066
3360106,-1
3360107,-1
3360110,-1
3360114,6202066
3360116,-1
3360117,-1
3360123,-1
3360124,6202066
3360126,-1
3360127,-1
3360133,6202066
3360134,6202066
3360136,6202066
3360137,6202066
3360160,6202065
3360180,6202066
3360200,-1
3360201,6202066
3360210,-1
3360211,-1
3360230,-1
3360240,-1
3360270,6202066
3360271,6202066
3360300,-1
3360301,6202066
3360310,6202065
3360410,6202066
3360430,6202066
3360490,6202065
3370100,6202065
3370105,6202065
3370110,6202065
3370115,6202065
3370125,-1
3370150,6202065
3370155,6202065
3400120,-1
3400130,6202066
3400150,6202066
3400151,6202065
3400152,-1
3400161,6202066
3400162,6202065
3400170,6202065
3400181,6202065
3400191,-1
3400192,-1
3400211,-1
3400220,6202065
3400221,6202065
3400231,-1
3400240,6202065
3400241,6202065
3400250,6202065
3400251,6202065
3400270,-1
3400281,-1
3400290,6202065
3400291,6202065
3400292,6202065
3400302,6202065
3400310,6202066
3400320,6202066
3400331,6202065
3400340,-1
3400350,6202065
3400351,6202065
3400402,6202065
3400620,-1
3400630,6202066
3400650,6202066
3400651,6202065
3400652,-1
3400661,6202066
3400662,6202065
3400670,6202065
3400681,6202065
3400692,-1
3400711,-1
3400720,6202065
3400721,6202065
3400731,-1
3400740,6202065
3400741,6202065
3400750,6202065
3400751,6202065
3400760,-1
3400770,-1
3400771,-1
3400781,-1
3400790,6202065
3400791,6202065
3400792,6202065
3400800,-1
3400802,6202065
3400810,6202066
3400820,6202066
3400831,6202065
3400840,-1
3400850,6202065
3400851,6202065
3400902,6202065
3450130,-1
3450131,6202065
3450170,-1
3450171,-1
3450190,-1
3450191,-1
3450200,-1
3450201,-1
3450202,-1
3450210,-1
3450220,-1
3450230,6202066
3450240,-1
3450300,-1
3450330,6202065
3450331,6202065
3451100,6202065
3451110,6202065
3451111,6202065
3451120,6202065
3451130,6202065
3451140,6202065
3451141,6202065
3451150,6202065
3451160,6202066
3451170,6202066
3451180,6202066
3460100,6202065
3460110,6202066
3460120,6202066
3460121,6202066
3460130,6202066
3460131,6202066
3460140,6202066
3460150,6202066
3460151,6202066
3460160,6202066
3460170,6202065
3460180,-1
3460190,6202065
3460200,6202065
3460201,6202065
3460210,6202066
3460220,6202066
3460230,6202065
3460240,6202065
3460241,6202065
3470010,-1
3470011,6202066
3470013,-1
3470014,-1
3470015,-1
3470016,6202065
3470020,-1
3470021,6202066
3470023,-1
3470024,-1
3470025,-1
3470026,6202066
3470027,6202065
3470028,-1
3470030,-1
3470031,6202066
3470033,-1
3470034,-1
3470036,-1
3470037,-1
3470038,6202065
3470040,-1
3470041,6202066
3470043,-1
3470051,-1
3470057,-1
3470058,-1
3470070,-1
3470071,-1
3470072,-1
3470073,-1
3470074,-1
3470075,6202065
3470076,-1
3470077,6202066
3470078,6202065
3470079,6202066
3500100,6202065
3500101,6202065
3500150,-1
3500160,-1
3500200,-1
3500201,-1
3500300,-1
3500320,-1
3500330,-1
3500340,-1
3500360,-1
3500400,-1
3500410,-1
3500800,6202065
3500801,6202065
3500810,6202065
3510010,-1
3510030,-1
3510060,-1
3510130,-1
3510150,6202066
3510170,-1
3510180,6202066
3510190,6202066
3510200,-1
3510210,6202066
3510230,-1
3510701,-1
3510900,6202065
3510910,6202065
3550100,6202066
3550110,6202066
3550120,6202066
3550121,6202066
3550130,6202066
3550140,6202066
3550150,-1
3550160,-1
3550170,6202066
3550180,6202066
3550190,6202066
3550200,-1
3550210,6202066
3550260,6202066
3550270,6202066
3550285,6202066
3550295,6202066
3560100,-1
3560110,6202065
3560111,6202065
3560130,-1
3560131,-1
3560140,6202065
3560150,6202066
3560160,-1
3560161,6202065
3560170,6202065
3560180,6202065
3560192,-1
3560193,-1
3560194,-1
3560195,-1
3560196,-1
3560197,6202065
3560201,6202065
3560212,6202065
3560213,6202065
3560220,6202065
3560221,6202066
3560230,6202066
3560231,6202066
3560232,6202066
3560233,6202066
3560234,6202066
3560235,6202065
3560240,6202065
3560241,6202066
3560250,6202065
3560260,6202065
3560280,6202065
3560300,-1
3560301,-1
3560310,6202066
3560320,6202065
3560330,6202065
3560332,6202066
3560340,6202065
3560341,-1
3560342,6202066
3570120,-1
3570130,-1
3570140,-1
3570151,-1
3570170,6202065
3570180,6202065
3570190,6202065
3570191,6202065
3570200,6202065
3570210,6202065
3570212,6202065
3570220,6202065
3570221,6202065
3570230,6202065
3570240,6202065
3570252,-1
3570255,-1
3570256,6202065
3570260,6202065
3570270,6202065
3570310,6202065
3570330,-1
3570340,6202065
3570350,6202065
3570360,-1
3570370,-1
3570380,6202066
3570400,6202065
3570421,6202066
3600111,6202066
3600120,6202066
3600140,-1
3600142,-1
3600160,6202065
3600190,6202066
3600191,6202066
3600200,6202066
3600201,6202066
3600202,6202066
3600203,6202066
3600220,6202065
3600300,6202066
3600311,6202066
3600340,-1
3600342,-1
3600360,6202065
3600371,6202065
3600372,6202065
3600374,6202065
3600390,6202066
3600391,6202066
3600420,6202065
3600430,6202066
3600431,6202066
3600432,6202066
3610100,-1
3610130,-1
3610150,-1
3620110,-1
3620120,-1
3620130,6202066
3630140,6202065
3630141,6202065
3630142,6202065
3630143,6202065
3630160,6202065
3650100,-1
3650110,-1
3650120,-1
3650130,6202066
3650140,-1
3650150,-1
3650160,-1
3650170,-1
3650171,6202066
3650180,-1
3650190,-1
3650191,6202066
3650201,6202066
3650210,-1
3650220,6202066
3650230,6202066
3650240,6202066
3650250,6202066
3650315,6202066
3650316,6202066
3650340,6202065
3650350,6202065
3650410,6202065
3650500,6202066
3650510,6202066
3650520,6202066
3650530,6202066
3650540,6202066
3650550,6202066
3650560,6202066
3650570,6202065
3650660,6202065
3650800,6202065
3650900,6202066
3660100,-1
3660110,-1
3660120,-1
3660140,-1
3660150,-1
3660160,-1
3660170,-1
3660180,6202065
3660190,-1
3660191,-1
3660200,-1
3660210,-1
3660230,-1
3660240,-1
3660460,-1
3660501,-1
3660503,-1
3660530,6202065
3661220,-1
3661230,-1
3661240,-1
3661300,-1
3661310,-1
3661320,-1
3661330,-1
3661340,-1
3661400,-1
3661410,-1
3661420,-1
3661430,-1
3661440,-1
3661500,6202065
3661510,6202065
3661520,6202065
3661530,6202065
3661540,6202065
3661910,6202065
3662100,-1
3662110,-1
3662120,-1
3662130,-1
3662140,-1
3662200,-1
3662210,-1
3662220,-1
3662230,-1
3662240,-1
3662500,6202065
3662510,6202065
3662520,6202065
3662530,6202065
3662540,6202065
3662910,6202065
3664100,-1
3664120,6202065
3664121,6202066
3664141,6202066
3664142,6202066
3664143,6202066
3664150,6202066
3664190,-1
3664191,-1
3664192,-1
3664193,-1
3664194,-1
3664195,-1
3664196,-1
3664197,6202065
3670110,-1
3670111,-1
3670120,-1
3670121,-1
3670122,-1
3670123,-1
3670130,-1
3670131,-1
3670132,-1
3670133,-1
3670140,-1
3670141,-1
3670603,-1
3670604,-1
3670605,-1
3670606,-1
3700100,-1
3700110,-1
3700130,-1
3700140,-1
3700160,-1
3700170,-1
3700190,-1
3700200,-1
3700290,-1
3700300,-1
3700310,-1
3700320,6202066
3700340,-1
3700570,-1
3700571,-1
3700572,-1
3700573,6202066
3702100,-1
3702200,-1
3702210,-1
3702300,-1
3702301,-1
3702400,-1
3702401,-1
3702402,-1
3702403,6202066
3702500,-1
3702501,-1
3702502,-1
3702600,-1
3702610,-1
3702620,-1
3703100,-1
3703110,-1
3703120,-1
3703121,-1
3703140,6202066
3703150,6202066
3703161,6202066
3703171,6202066
3703180,-1
3703200,6202066
3704100,-1
3704120,6202065
3704131,6202065
3704140,6202065
3704180,6202065
3704181,6202065
3704190,6202065
3704191,6202065
3730110,6202066
3750120,-1
3750130,-1
3750131,-1
3750132,-1
3750140,-1
3750200,-1
3750210,-1
3750220,-1
3750230,-1
3750231,-1
3750232,-1
3750233,-1
3750234,-1
3750240,6202066
3750241,-1
3750250,-1
3750251,-1
3750300,-1
3750310,-1
3750320,-1
3750321,-1
3750330,-1
3750331,-1
3750340,6202066
3750341,6202066
3800100,6202065
3800110,-1
3800120,6202065
3800121,6202065
3800130,6202066
3800140,6202066
3800150,6202066
3800160,-1
3800170,6202065
3800180,6202066
3800183,6202065
3800185,6202065
3800193,6202065
3800194,6202065
3800200,6202065
3800201,6202066
3800210,6202066
3800211,6202066
3800220,6202066
3800221,6202066
3800232,6202066
3800233,6202066
3800250,-1
3800270,6202066
3800284,6202066
3800285,6202065
3800286,-1
3800287,-1
3800300,-1
3800301,6202065
3800302,6202066
3800310,-1
3800311,6202065
3800312,6202066
3810111,6202066
3810120,6202066
3810160,6202066
3810170,6202066
3810201,-1
3810420,-1
3850000,-1
3850001,-1
3850002,-1
3850003,-1
3850010,-1
3850011,-1
3850012,-1
3850013,-1
3850020,-1
3850030,-1
3850040,-1
3850041,-1
3850050,-1
3850051,-1
3850052,-1
3850053,-1
3850054,-1
3850055,-1
3850056,-1
3850057,-1
3850058,-1
3850059,-1
3850060,-1
3850090,-1
3850095,-1
3850100,-1
3850101,-1
3850110,-1
3850111,-1
3850212,-1
3850220,-1
3850250,-1
3850261,6202065
3850270,-1
3850300,-1
3850301,-1
3860100,6202066
3860101,6202066
3860110,6202066
3860111,6202066
3860120,6202066
3860121,6202066
3860122,6202065
3860123,6202065
3860130,6202066
3860131,6202066
3860140,6202066
3860141,6202066
3860150,6202065
3860160,6202066
3860175,-1
3860190,6202065
3860191,6202065
3860200,6202066
3860210,6202066
3860220,6202066
3860230,-1
3860240,-1
3860241,6202065
3860250,6202065
3860251,6202065
3860260,6202066
3860280,6202065
3860290,6202065
3860400,-1
3860405,-1
3900100,6202066
3900110,6202066
3900120,6202066
3900130,6202065
3900131,6202065
3900140,6202066
3900141,6202066
3900150,6202066
3900160,6202066
3900170,6202066
