SpEffect found in TAE: 2000,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19040,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19040,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19040,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19040,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19041,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19041,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19041,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19041,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19042,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19044,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19044,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19044,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19044,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 1812
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 1810
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2000,SpEffect found in Animation: 19200,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 1812
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 1810
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2000,SpEffect found in Animation: 19210,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 146
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19220,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19250,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2000,SpEffect found in Animation: 19250,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2000,SpEffect found in Animation: 19260,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2000,SpEffect found in Animation: 19260,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2000,SpEffect found in Animation: 19300,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2000,SpEffect found in Animation: 19300,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2000,SpEffect found in Animation: 19310,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2000,SpEffect found in Animation: 19310,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 1812
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 1810
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2000,SpEffect found in Animation: 19400,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 1812
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 1810
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2000,SpEffect found in Animation: 19410,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19420,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19420,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2000,SpEffect found in Animation: 19420,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19420,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2000,SpEffect found in Animation: 19420,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 30
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 51
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 41
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 40
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 6998
SpEffect found in TAE: 2000,SpEffect found in Animation: 19500,SpEffect from Event Type: 67,SpEffect ID: 6215020
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 30
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 51
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 41
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 40
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 6998
SpEffect found in TAE: 2000,SpEffect found in Animation: 19510,SpEffect from Event Type: 67,SpEffect ID: 6215020
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 30
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 51
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 41
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 40
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 6998
SpEffect found in TAE: 2000,SpEffect found in Animation: 19520,SpEffect from Event Type: 67,SpEffect ID: 6215020
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 30
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 51
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 41
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 40
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 6998
SpEffect found in TAE: 2000,SpEffect found in Animation: 19530,SpEffect from Event Type: 67,SpEffect ID: 6215020
SpEffect found in TAE: 2000,SpEffect found in Animation: 23110,SpEffect from Event Type: 67,SpEffect ID: 6210175
SpEffect found in TAE: 2000,SpEffect found in Animation: 23210,SpEffect from Event Type: 67,SpEffect ID: 6210175
SpEffect found in TAE: 2002,SpEffect found in Animation: 30,SpEffect from Event Type: 67,SpEffect ID: 6202040
SpEffect found in TAE: 2002,SpEffect found in Animation: 30,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 100,SpEffect from Event Type: 67,SpEffect ID: 6202040
SpEffect found in TAE: 2002,SpEffect found in Animation: 100,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 100,SpEffect from Event Type: 66,SpEffect ID: 100000
SpEffect found in TAE: 2002,SpEffect found in Animation: 110,SpEffect from Event Type: 67,SpEffect ID: 6202040
SpEffect found in TAE: 2002,SpEffect found in Animation: 110,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 120,SpEffect from Event Type: 67,SpEffect ID: 6202040
SpEffect found in TAE: 2002,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 138
SpEffect found in TAE: 2002,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19002,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19010,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19010,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19010,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19011,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19011,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19011,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19012,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19014,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19014,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19014,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19020,SpEffect from Event Type: 67,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19020,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19021,SpEffect from Event Type: 67,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19021,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19022,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19024,SpEffect from Event Type: 67,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19024,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19030,SpEffect from Event Type: 67,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19030,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19031,SpEffect from Event Type: 67,SpEffect ID: 100130
SpEffect found in TAE: 2002,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19031,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19032,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2002,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19034,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2002,SpEffect found in Animation: 19100,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19110,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19120,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19130,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19140,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19150,SpEffect from Event Type: 66,SpEffect ID: 6202009
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 1682
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 1680
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2002,SpEffect found in Animation: 19200,SpEffect from Event Type: 66,SpEffect ID: 134
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 1810
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 1812
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 133
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2002,SpEffect found in Animation: 19210,SpEffect from Event Type: 66,SpEffect ID: 134
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 100420
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19220,SpEffect from Event Type: 67,SpEffect ID: 6202216
SpEffect found in TAE: 2002,SpEffect found in Animation: 19250,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19250,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19250,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19250,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19260,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19270,SpEffect from Event Type: 66,SpEffect ID: 100420
SpEffect found in TAE: 2002,SpEffect found in Animation: 19270,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19270,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19270,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19270,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19300,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19300,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19300,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19300,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 67,SpEffect ID: 174
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 67,SpEffect ID: 173
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19310,SpEffect from Event Type: 66,SpEffect ID: 6202007
SpEffect found in TAE: 2002,SpEffect found in Animation: 19320,SpEffect from Event Type: 66,SpEffect ID: 100420
SpEffect found in TAE: 2002,SpEffect found in Animation: 19320,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2002,SpEffect found in Animation: 19320,SpEffect from Event Type: 66,SpEffect ID: 6202006
SpEffect found in TAE: 2002,SpEffect found in Animation: 19320,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2002,SpEffect found in Animation: 19320,SpEffect from Event Type: 66,SpEffect ID: 6202007
